date,eth_exported,usd_value
2024-07-03,4847437.51,16568049045.24
2024-07-04,4861155.12,16021436174.99
2024-07-05,4858637.24,14911368564.24
2024-07-06,4862517.52,14511688071.72
2024-07-07,4877171.54,14954614724.38
2024-07-08,4901782.52,14355366329.87
2024-07-09,4916940.86,14829903491.53
2024-07-10,4928587.91,15101648548.0
2024-07-11,4915356.74,15236181363.74
2024-07-12,4916065.55,15250078910.3
2024-07-13,4918612.43,15409918488.25
2024-07-14,4918298.7,15608241745.46
2024-07-15,4927138.62,16026278040.28
2024-07-16,4930682.63,17200877450.06
2024-07-17,4915991.56,16944272010.03
2024-07-18,4921175.3,16680034739.81
2024-07-19,4926255.85,16889924447.56
2024-07-20,4926998.11,17270224829.14
2024-07-21,4934114.39,17381904587.41
2024-07-22,4939454.13,17451676023.49
2024-07-23,4937980.16,17001827888.84
2024-07-24,4943846.26,17219336282.6
2024-07-25,4941354.53,16486237666.69
2024-07-26,4955671.13,15728127660.07
2024-07-27,4953727.54,16239245008.53
2024-07-28,4953145.44,16120564954.49
2024-07-29,4954740.92,16216124453.79
2024-07-30,4952581.72,16427427257.08
2024-07-31,4965239.19,16270998362.19
2024-08-01,4972572.89,16076710061.12
2024-08-02,4981589.69,15962241447.55
2024-08-03,4992228.88,14893321281.0
2024-08-04,5002724.44,14541494285.58
2024-08-05,5002507.58,13418913387.7
2024-08-06,5009936.39,12102158340.5
2024-08-07,4997993.25,12272629278.19
2024-08-08,5009604.99,11730442681.76
2024-08-09,5011807.51,13456767077.5
2024-08-10,5023313.64,13071586737.4
2024-08-11,5027959.16,13113097210.16
2024-08-12,5038026.97,12891257408.13
2024-08-13,5038405.21,13738612436.55
2024-08-14,5055380.02,13667475477.71
2024-08-15,5071731.97,13504908470.26
2024-08-16,5069344.97,13027509296.92
2024-08-17,5063972.28,13127077108.67
2024-08-18,5069461.76,13247209564.72
2024-08-19,5068308.91,13251606960.98
2024-08-20,5067129.74,13380214254.19
2024-08-21,5069901.39,13058258246.31
2024-08-22,5083023.33,13369870170.33
2024-08-23,5073635.24,13309612389.67
2024-08-24,5072847.18,14017572394.99
2024-08-25,5072410.71,14039624978.28
2024-08-26,5075488.42,13933051494.83
2024-08-27,5048851.62,13546473382.62
2024-08-28,5046164.9,12399826714.06
2024-08-29,5051773.96,12765969090.18
2024-08-30,5059219.57,12783324138.07
2024-08-31,5012993.02,12671293347.14
2024-09-01,4926202.87,12381342680.01
2024-09-02,4820671.1,11714328476.15
2024-09-03,4821962.62,12223216263.95
2024-09-04,4832435.5,11777356439.01
2024-09-05,4827170.68,11818399909.71
2024-09-06,4836210.41,11451034161.53
2024-09-07,4834919.69,10751799787.7
2024-09-08,4837660.52,10994537938.66
2024-09-09,4834890.64,11102857145.49
2024-09-10,4797497.24,11320010243.1
2024-09-11,4801921.26,11474066057.76
2024-09-12,4642903.35,10878155057.62
2024-09-13,4577416.85,10813232917.53
2024-09-14,4578073.09,11193783371.9
2024-09-15,4567724.05,11045134994.51
2024-09-16,4565046.3,10602974350.08
2024-09-17,4560268.52,10466431147.16
2024-09-18,4563944.3,10684615381.88
2024-09-19,4564397.06,10780927800.17
2024-09-20,4440744.35,10947477426.7
2024-09-21,4443822.34,11365617147.06
2024-09-22,4445559.75,11623358777.3
2024-09-23,4443823.23,11477718544.99
2024-09-24,4447478.79,11776893434.43
2024-09-25,4390154.06,11650785534.07
2024-09-26,4389237.03,11317938944.75
2024-09-27,4389305.45,11548042457.39
2024-09-28,4375717.09,11806528428.33
2024-09-29,4374252.66,11723953786.74
2024-09-30,4366949.95,11614389049.17
2024-10-01,4386699.49,11393755095.33
2024-10-02,4396811.06,10779360592.92
2024-10-03,4328345.36,10237536805.75
2024-10-04,4325999.49,10157467722.4
2024-10-05,4327458.83,10459114897.2
2024-10-06,4327846.8,10453497673.83
2024-10-07,4325876.23,10546619975.3
2024-10-08,4338267.32,10510539943.35
2024-10-09,4257326.17,10394113564.12
2024-10-10,4282568.43,10139473678.59
2024-10-11,4292225.86,10223145047.21
2024-10-12,4314801.12,10509620555.06
2024-10-13,4326232.32,10718729545.25
2024-10-14,4331839.34,10686044354.13
2024-10-15,4329516.26,11380152425.67
2024-10-16,4329757.18,11266357441.94
2024-10-17,4338203.69,11330087275.51
2024-10-18,4349473.91,11322203783.57
2024-10-19,4337317.79,11464209806.18
2024-10-20,4300742.3,11396878035.31
2024-10-21,4300887.79,11797159486.99
2024-10-22,4313548.81,11498764844.88
2024-10-23,4320480.23,11317780158.06
2024-10-24,4326263.08,10919937314.89
2024-10-25,4341634.59,11011401449.06
2024-10-26,4336193.43,10502665016.36
2024-10-27,4348757.03,10782193380.09
2024-10-28,4350527.25,10900258835.27
2024-10-29,4352638.04,11163706360.58
2024-10-30,4308104.14,11367524490.41
2024-10-31,4325766.54,11496218507.21
2024-11-01,4331169.43,10891811729.88
2024-11-02,4346272.7,10925822362.5
2024-11-03,4353810.58,10846875345.53
2024-11-04,4359948.34,10712304497.57
2024-11-05,4321708.92,10354586440.73
2024-11-06,4248308.47,10290968538.15
2024-11-07,4267248.43,11609568874.63
2024-11-08,4274629.39,12374931862.44
2024-11-09,4288063.92,12696782905.32
2024-11-10,4296263.61,13447457705.5
2024-11-11,4258136.56,13591565050.15
2024-11-12,4225827.65,14252835514.73
2024-11-13,4236885.16,13816204498.9
2024-11-14,4260326.29,13598532003.59
2024-11-15,4267717.49,13058414444.31
2024-11-16,4281091.89,13245326043.85
2024-11-17,4286166.74,13432333194.66
2024-11-18,4295783.12,13211829336.25
2024-11-19,4308318.51,13827220442.28
2024-11-20,4321325.98,13451897984.83
2024-11-21,4334353.1,13328976030.13
2024-11-22,4347089.85,14632030461.12
2024-11-23,4322174.37,14383146862.68
2024-11-24,4322616.85,14671121364.25
2024-11-25,4334642.9,14602123512.82
2024-11-26,4261197.73,14561753600.86
2024-11-27,4272522.81,14208857940.36
2024-11-28,4255147.03,15600171084.31
2024-11-29,4256344.42,15234481566.22
2024-11-30,4249906.05,15291983548.5
2024-12-01,4258952.49,15800328055.92
2024-12-02,4272266.82,15845014104.77
2024-12-03,4248615.58,15481340725.89
2024-12-04,4255468.47,15429096549.21
2024-12-05,4263412.8,16369132381.9
2024-12-06,4243942.96,16113694891.5
2024-12-07,4266366.48,17124026683.24
2024-12-08,4267574.95,17074533566.61
2024-12-09,4270436.04,17149140282.73
2024-12-10,4240688.17,15747006336.15
2024-12-11,4247018.67,15402189657.17
2024-12-12,4259160.89,16304526125.25
2024-12-13,4276443.08,16587681305.16
2024-12-14,4236051.76,16552074288.44
2024-12-15,4234144.53,16373419114.6
2024-12-16,4237997.35,16788044462.78
2024-12-17,4246746.58,16956652638.94
2024-12-18,4253143.75,16499672349.11
2024-12-19,4261297.06,15461104238.14
2024-12-20,4273095.6,14676696619.87
2024-12-21,4282930.0,14856023351.78
2024-12-22,4286702.49,14307286336.91
2024-12-23,4294276.11,14067573717.17
2024-12-24,4238129.44,14471692413.72
2024-12-25,4229608.87,14793290871.27
2024-12-26,4228308.01,14775868546.23
2024-12-27,4227990.65,14069864073.78
2024-12-28,4238955.31,14109833915.72
2024-12-29,4237987.77,14399979451.85
2024-12-30,4238922.0,14231463145.45
2024-12-31,4240262.78,14245221928.34
2025-01-01,4235876.17,14133498609.79
2025-01-02,4237798.36,14192247901.12
2025-01-03,4245545.87,14639238377.68
2025-01-04,4235037.11,15264307746.4
2025-01-05,4242952.51,15530810183.34
2025-01-06,4249012.82,15448794507.28
2025-01-07,4256115.29,15692913003.13
2025-01-08,4230767.32,14300082922.41
2025-01-09,4248974.26,14128391912.9
2025-01-10,4256904.79,13703371763.5
2025-01-11,4266270.23,13947188227.53
2025-01-12,4273084.0,14031061554.39
2025-01-13,4275944.15,13956985147.86
2025-01-14,4283782.21,13427738278.21
2025-01-15,4282520.91,13810276215.37
2025-01-16,4278753.2,14749007960.52
2025-01-17,4258830.23,14094371281.32
2025-01-18,4267720.76,14840078323.94
2025-01-19,4298245.19,14223321292.71
2025-01-20,4324452.05,13873432665.15
2025-01-21,4333953.41,14141992795.04
2025-01-22,4348829.61,14464331399.75
2025-01-23,4334709.58,14032753886.84
2025-01-24,4238611.16,14125514572.42
2025-01-25,4182138.49,13850615295.32
2025-01-26,4175263.57,13862423726.52
2025-01-27,4175808.11,13497367582.89
2025-01-28,4203950.83,13341383433.45
2025-01-29,4222052.82,12989119205.25
2025-01-30,4240332.02,13206242223.88
2025-01-31,4248693.68,13800817046.94
2025-02-01,4244782.11,13992460005.08
2025-02-02,4241709.82,13255507265.26
2025-02-03,4250448.31,12167748259.63
2025-02-04,4395967.42,12650775800.89
2025-02-05,4401269.59,12061155448.49
2025-02-06,4434117.06,12373634952.0
2025-02-07,4453734.45,11965680512.16
2025-02-08,4474499.65,11738629258.39
2025-02-09,4474612.68,11793294289.82
2025-02-10,4477264.33,11786558738.28
2025-02-11,4483023.54,11926173174.67
2025-02-12,4477111.14,11654069686.06
